file_name,page_number,prompt_tokens,output_tokens,total_tokens
BEST_2022.pdf,1,1129,1484,2613
BEST_2023.pdf,1,1129,1414,2543
BEST_2024.pdf,1,1117,1114,2231
BFIN_2023.pdf,1,1129,955,2084
BFIN_2022.pdf,1,1117,1021,2138
BFIN_2024.pdf,1,1129,1166,2295
BGTG_2022.pdf,1,1129,624,1753
BGTG_2022.pdf,2,1129,918,2047
BHAT_2024.pdf,1,1129,783,1912
BHAT_2024.pdf,2,1129,878,2007
BIKE_2022.pdf,1,1129,881,2010
BIKE_2022.pdf,2,1129,689,1818
BHAT_2022.pdf,1,1129,910,2039
BHAT_2022.pdf,2,1129,746,1875
BHAT_2022.pdf,3,1129,761,1890
BHAT_2023.pdf,1,1129,919,2048
BHAT_2023.pdf,2,1129,624,1753
BHAT_2023.pdf,3,1129,687,1816
BIKE_2023.pdf,1,1129,910,2039
BIKE_2024.pdf,1,1129,907,2036
BIMA_2023.pdf,1,1129,792,1921
BINA_2022.pdf,1,1129,967,2096
BINA_2022.pdf,2,1129,896,2025
BIPI_2023.pdf,1,1129,871,2000
BINA_2023.pdf,1,1129,793,1922
BINA_2023.pdf,2,1129,736,1865
BIPI_2024.pdf,1,1129,894,2023
BIPP_2022.pdf,1,1139,771,1910
BIPP_2022.pdf,2,1139,601,1740
BIPI_2022.pdf,1,1129,772,1901
BIPI_2022.pdf,2,1129,1032,2161
BIPI_2022.pdf,3,1129,810,1939
BIPP_2023.pdf,1,1129,771,1900
BIPP_2023.pdf,2,1129,607,1736
BIRD_2023.pdf,1,1129,943,2072
BIRD_2023.pdf,2,1129,969,2098
BISI_2022.pdf,1,1129,796,1925
BISI_2022.pdf,2,1129,682,1811
BISI_2023.pdf,1,1129,838,1967
BISI_2023.pdf,2,1129,619,1748
BIRD_2024.pdf,1,1129,960,2089
BIRD_2024.pdf,2,1129,1003,2132
BJBR_2023.pdf,1,1129,1022,2151
BJBR_2023.pdf,2,1129,837,1966
BJTM_2023.pdf,1,1129,764,1893
BJTM_2023.pdf,2,1129,552,1681
BJTM_2022.pdf,1,1129,900,2029
BJTM_2022.pdf,2,1129,763,1892
BKDP_2022.pdf,1,1129,775,1904
BKDP_2022.pdf,2,1129,776,1905
BKDP_2023.pdf,1,1129,833,1962
BKDP_2023.pdf,2,1129,840,1969
BKSW_2022.pdf,1,1129,870,1999
BKSW_2022.pdf,2,1129,780,1909
BJTM_2024.pdf,1,1129,565,1694
BJTM_2024.pdf,2,1129,656,1785
BJTM_2024.pdf,3,1129,520,1649
BJTM_2024.pdf,4,1129,624,1753
BJTM_2024.pdf,5,1129,590,1719
BLTA_2023.pdf,1,1129,813,1942
BLTA_2023.pdf,2,1129,710,1839
BLES_2024.pdf,1,1129,1017,2146
BLES_2024.pdf,2,1129,1152,2281
BLTA_2022.pdf,1,1129,1046,2175
BLTA_2022.pdf,2,1129,851,1980
BLTA_2022.pdf,3,1129,938,2067
BLTZ_2023.pdf,1,1129,968,2097
BLTZ_2023.pdf,2,1129,982,2111
BLTZ_2023.pdf,3,1129,793,1922
BLTZ_2023.pdf,4,1129,912,2041
BLTZ_2022.pdf,1,1129,1072,2201
BLTZ_2022.pdf,2,1129,771,1900
BLTZ_2022.pdf,3,1129,774,1903
BLTZ_2022.pdf,4,1129,794,1923
BLTZ_2024.pdf,1,1129,1063,2192
BLTZ_2024.pdf,2,1129,986,2115
BLTZ_2024.pdf,3,1129,797,1926
BLTZ_2024.pdf,4,1129,924,2053
BLTA_2024.pdf,1,1129,528,1657
BLTA_2024.pdf,2,1129,610,1739
BLTA_2024.pdf,3,1129,464,1593
BLTA_2024.pdf,4,1129,542,1671
BLTA_2024.pdf,5,1129,462,1591
BMHS_2022.pdf,1,1129,913,2042
BMHS_2023.pdf,1,1129,963,2092
BLUE_2023.pdf,1,1129,983,2112
BLUE_2023.pdf,2,1129,705,1834
BLUE_2022.pdf,1,1129,1116,2245
BLUE_2022.pdf,2,1129,699,1828
BMHS_2024.pdf,1,1129,867,1996
BMSR_2024.pdf,1,1129,1281,2410
BMSR_2024.pdf,2,1129,731,1860
BMSR_2023.pdf,1,1129,1255,2384
BMSR_2023.pdf,2,1129,800,1929
BMTR_2022.pdf,1,1129,1250,2379
BMTR_2023.pdf,1,1129,1331,2460
BMTR_2023.pdf,2,1129,989,2118
BMRI_2023.pdf,1,1129,1112,2241
BMRI_2023.pdf,2,1129,930,2059
BMRI_2023.pdf,3,1129,893,2022
BMRI_2023.pdf,4,1129,834,1963
BMRI_2023.pdf,5,1129,964,2093
BMRI_2023.pdf,6,1129,734,1863
BMRI_2023.pdf,7,1129,848,1977
BMRI_2024.pdf,1,1129,1084,2213
BMRI_2024.pdf,2,1129,921,2050
BMRI_2024.pdf,3,1129,1020,2149
BMRI_2024.pdf,4,1129,718,1847
BMRI_2024.pdf,5,1129,795,1924
BMRI_2024.pdf,6,1129,742,1871
BMRI_2024.pdf,7,1129,693,1822
BNBR_2022.pdf,1,1129,999,2128
BNBA_2022.pdf,1,1129,884,2013
BNBA_2022.pdf,2,1129,810,1939
BNBA_2022.pdf,3,1129,890,2019
BNBA_2023.pdf,1,1129,884,2013
BNBA_2023.pdf,2,1129,841,1970
BNBA_2023.pdf,3,1129,861,1990
BNBR_2024.pdf,1,1129,979,2108
BNBR_2023.pdf,1,1129,979,2108
BNBA_2024.pdf,1,1129,960,2089
BNBA_2024.pdf,2,1129,844,1973
BNBA_2024.pdf,3,1129,752,1881
BNGA_2022.pdf,1,1129,918,2047
BNGA_2022.pdf,2,1129,775,1904
BOBA_2022.pdf,1,1129,971,2100
BOBA_2022.pdf,2,1129,844,1973
BNII_2023.pdf,1,1129,643,1772
BNII_2023.pdf,2,1129,710,1839
BNII_2023.pdf,3,1129,787,1916
BOBA_2024.pdf,1,1129,1178,2307
BOGA_2022.pdf,1,1129,824,1953
BNGA_2024.pdf,1,1129,967,2096
BNGA_2024.pdf,2,1129,832,1961
BNGA_2024.pdf,3,1129,678,1807
BNGA_2024.pdf,4,1129,742,1871
BOGA_2023.pdf,1,1129,833,1962
BOLT_2024.pdf,1,1129,978,2107
BOLT_2022.pdf,1,1129,767,1896
BOBA_2023.pdf,1,1129,1038,2167
BOBA_2023.pdf,2,1129,838,1967
BOBA_2023.pdf,3,1129,723,1852
BOSS_2022.pdf,1,1129,1354,2483
BPFI_2022.pdf,1,1129,875,2004
BPFI_2022.pdf,2,1129,1146,2275
BPTR_2022.pdf,1,1129,989,2118
BPFI_2023.pdf,1,1129,876,2005
BPFI_2023.pdf,2,1129,1041,2170
BPFI_2024.pdf,1,1129,919,2048
BPFI_2024.pdf,2,1129,1105,2234
BPTR_2023.pdf,1,1129,912,2041
BPTR_2023.pdf,2,1129,899,2028
BRAM_2023.pdf,1,1129,920,2049
BRAM_2023.pdf,2,1129,848,1977
BRAM_2024.pdf,1,1129,738,1867
BPII_2023.pdf,1,1129,973,2102
BPII_2023.pdf,2,1129,784,1913
BPII_2023.pdf,3,1129,742,1871
BPII_2023.pdf,4,1129,969,2098
BRAM_2022.pdf,1,1129,920,2049
BRAM_2022.pdf,2,1129,827,1956
BRAM_2022.pdf,3,1129,990,2119
BRAM_2022.pdf,4,1129,867,1996
BREN_2024.pdf,1,1129,847,1976
BREN_2024.pdf,2,1129,1047,2176
BRMS_2022.pdf,1,1129,782,1911
BRMS_2023.pdf,1,1129,830,1959
BRIS_2022.pdf,1,1129,926,2055
BRIS_2022.pdf,2,1129,701,1830
BRIS_2022.pdf,3,1129,767,1896
BRIS_2022.pdf,4,1129,721,1850
BRIS_2023.pdf,1,1129,1147,2276
BRIS_2023.pdf,2,1129,927,2056
BRIS_2023.pdf,3,1129,667,1796
BRIS_2023.pdf,4,1129,794,1923
BRMS_2024.pdf,1,1129,771,1900
BRNA_2024.pdf,1,1129,526,1655
BRNA_2022.pdf,1,1129,711,1840
BRNA_2022.pdf,2,1129,629,1758
BRNA_2023.pdf,1,1129,760,1889
BRNA_2023.pdf,2,1129,763,1892
BRIS_2024.pdf,1,1129,1141,2270
BRIS_2024.pdf,2,1129,944,2073
BRIS_2024.pdf,3,1129,871,2000
BRIS_2024.pdf,4,1129,614,1743
BRRC_2024.pdf,1,1129,926,2055
BRRC_2024.pdf,2,1129,955,2084
BSBK_2022.pdf,1,1129,931,2060
BSBK_2022.pdf,2,1129,955,2084
BRPT_2024.pdf,1,1129,875,2004
BRPT_2024.pdf,2,1129,830,1959
BRPT_2024.pdf,3,1129,1043,2172
BRPT_2023.pdf,1,1129,895,2024
BRPT_2023.pdf,2,1129,995,2124
BRPT_2023.pdf,3,1129,969,2098
BRPT_2023.pdf,4,1129,788,1917
BSBK_2024.pdf,1,1129,956,2085
BSBK_2024.pdf,2,1129,972,2101
BSBK_2023.pdf,1,1129,955,2084
BSBK_2023.pdf,2,1129,996,2125
BSDE_2023.pdf,1,1129,938,2067
BSDE_2023.pdf,2,1129,891,2020
BSDE_2022.pdf,1,1129,938,2067
BSDE_2022.pdf,2,1129,1142,2271
BSDE_2022.pdf,3,1129,1039,2168
BSIM_2023.pdf,1,1129,1075,2204
BSIM_2023.pdf,2,1129,913,2042
BSIM_2022.pdf,1,1129,940,2069
BSIM_2022.pdf,2,1129,744,1873
BSIM_2024.pdf,1,1129,1012,2141
BSIM_2024.pdf,2,1129,909,2038
BSML_2022.pdf,1,1129,1510,2639
BSML_2022.pdf,2,1129,1021,2150
BSSR_2022.pdf,1,1129,1001,2130
BSSR_2022.pdf,2,1129,948,2077
BSSR_2022.pdf,3,1129,896,2025
BTEK_2022.pdf,1,1129,784,1913
BTEK_2022.pdf,2,1129,751,1880
BTEK_2022.pdf,3,1129,800,1929
BTEK_2023.pdf,1,1129,799,1928
BTEK_2023.pdf,2,1129,806,1935
BTEK_2023.pdf,3,1129,794,1923
BTEK_2024.pdf,1,1129,912,2041
BTEK_2024.pdf,2,1129,1018,2147
BTEK_2024.pdf,3,1129,1213,2342
BTON_2022.pdf,1,1129,1034,2163
BTON_2022.pdf,2,1129,802,1931
BTEL_2022.pdf,1,1129,891,2020
BTEL_2022.pdf,2,1129,707,1836
BTON_2023.pdf,1,1129,859,1988
BSSR_2024.pdf,1,1129,551,1680
BSSR_2024.pdf,2,1129,647,1776
BSSR_2024.pdf,3,1129,467,1596
BSSR_2024.pdf,4,1129,520,1649
BSSR_2024.pdf,5,1129,500,1629
BSSR_2024.pdf,6,1129,529,1658
BSSR_2024.pdf,7,1129,553,1682
BSSR_2024.pdf,8,1129,428,1557
BSSR_2024.pdf,9,1129,415,1544
BTON_2024.pdf,1,1129,859,1988
BTPN_2024.pdf,1,1129,1076,2205
BTPN_2024.pdf,2,1129,686,1815
BTPN_2024.pdf,3,1129,669,1798
BTPN_2024.pdf,4,1129,980,2109
BTPN_2024.pdf,5,1129,508,1637
BTPN_2024.pdf,6,1129,915,2044
BTPN_2024.pdf,7,1129,918,2047
BUDI_2022.pdf,1,1129,1002,2131
BUDI_2022.pdf,2,1129,950,2079
BTPS_2022.pdf,1,1129,811,1940
